seq_orgao;num_anoexercicio;cod_orgao;nom_orgao;tipo_orgao;cod_municipio;nom_municipio;cod_uf;sgl_uf;nom_uf;dsc_regiaoplanejamento;num_versao_arq
371;2022;"01";"CAMARA MUNICIPAL DE CAPELINHA";"01 - CÂMARA MUNICIPAL";3112307;"CAPELINHA";31;"MG";"Minas Gerais";"JEQUITINHONHA / MUCURI";"1"
372;2022;"02";"PREFEITURA MUNICIPAL DE CAPELINHA";"02 - PREFEITURA MUNICIPAL";3112307;"CAPELINHA";31;"MG";"Minas Gerais";"JEQUITINHONHA / MUCURI";"1"
